repo_owner,repo_name,complexity_score,success
rabbitmq,rabbitmq-prometheus,60,True
apache,apisix-website,84,True
aws-samples,aws-genomics-workflows,35,True
calblueprint,chinese-newcomers,52,True
kaltura,swiv,51,True
CTQPuebla,JavaSept22,0,False
src-anolis-os,python-sphinxcontrib-devhelp,4,True
joinpursuit,9-1-module-three-assessment,46,True
TeamStoic,StoicChess,38,True
aws-ia,cfn-ps-amazon-redshift,19,True
hyekyung-oh,LIVE_BOOK,63,True
toku-sa-n,antei,22,True
JungWook87,MovieSourcing,0,False
aurnabdas,CapStone-Film-Analyzer,13,True
bnajafi,BuildingSimulationProject_Polimi_TES,542,True
MyungJiwoo,AJD-algorithm-study,45,True
lamassu,lamassu-server,459,True
ICEI-PUC-Minas-PMV-ADS,pmv-ads-2024-1-e3-proj-mov-t2-farmaonline,57,True
cod3ctq,javaAgosto24,0,False
datastax,astra-streaming-docs,18,True
puppetlabs,puppetfile-check,10,True
firsttris,plugin.video.sendtokodi,22,True
aayushi-droid,Python-Thunder,335,True
Gatis1,ZDZU,140,True
afifudin24,FinalProjectPMO-OK,23,True
openkylin,i2c-tools,4,True
bestmealever,Thebestmeal_Spring,10,True
src-openeuler,perl-Date-Simple,8,True
6tail,lunar-go,110,True
njwhites,checkin,29,True
AdrenalinV,lk_loyality,12,True
learn-co-students,sinatra-fwitter-group-project-online-web-sp-000,18,True
azkaban,azkaban-plugins,72,True
lilkxst,iOS-FakeNFT-StarterProject-Public,16,True
bytedance,trace-noschedule,5,True
netlify,dbt_greenhouse,28,True
quanzhanying,jdstore,42,True
DuyLong27,DuAnTotNghiep_SD111,5,True
trejoRogelio,mobile-programming,4,True
LiminalVR,LiminalSdk-UnityPackage,86,True
src-openeuler,lxshortcut,9,True
assist-1,lab11,2,True
src-anolis-os,grilo,2,True
morpht,convivial,21,True
Fruitfella,ROBOT-binary,10,True
ces-huynguyen,liferay-portal,788,True
svetlemk,Stellan_Sprint2B28,2,True
Kitura,Kitura-net,37,True
freshworks,marketplace-sample-apps,12,True
newrelic,docs-website-i18n-phrase,130,True
middle-Atlantida,Battleship-Atlantida,55,True
auddus16,KimHwangBaeStreet,53,True
Ndani-Technologies,greenme-fe,36,True
kst6294,wanted-preonboarding-challenge-backend-20,2,True
asharma8602,Introduction-to-Deep-Learning-and-its-Applications,36,True
Tereneckla,wotlk,79,True
2-2-22,rolling,24,True
SetProtocol,set-protocol-v2,74,True
intel,processwatch,33,True
iman-salmani,iplan,54,True
dankelley,oce,1724,True
helpcrunch,helpcrunch-symfony,8,True
DevDmitriy,git-lesson,34,True
ProyectoIntegrador2018,conexion_tec_2,62,True
ktminks,CEN3031SPR23,60,True
anhquan14072002,IT_LEARNING_WEBSTIE_FE,22,True
leftshiftone,conveyjs,57,True
brainsum,c2distro,20,True
CodeClouds-Guru,99ventures,46,True
Boonapart228,AndroidQuestionsApp,19,True
ironhack-labs,lab-javascript-chronometer,16,True
opencloudos-stream,ocaml-cppo,2,True
Btotals,whereIs,8,True
gogaille,blog,38,True
DSC-UTMap,utmap-website,21,True
SAP-docs,sapui5,10,True
ucsb-cs184-f24,team10AlcTracker,41,True
electron,universal,52,True
ICEI-PUC-Minas-PMV-ADS,pmv-ads-2023-1-e1-proj-web-t15-e1-proj-web-t15-time4-projlivroapp,34,True
Mozcalti,GamingPlatform,30,True
ucsdlib,dams5-cc-pilot,70,True
HSE-CS,Test,20,True
Natal1a-Chuklina,java-filmorate,13,True
patronusv,bookreading-client,16,True
buuhuu,maruti-playground,89,True
FundIngSoft2021-10,phoenixWear,34,True
mystic-ai,pipeline,50,True
Hunter2065,ChewiTest,64,True
Qihoo360,XLearning-XDML,43,True
cucapra,dahlia,78,True
summer-troopers,better-moodle-ui,34,True
hassio-addons,addon-traccar,30,True
src-openeuler,ifm3d-release,4,True
src-openeuler,perl-parent,5,True
wizelineacademy,itesm-socioformador-ago-dec-2023-team-03,22,True
minallaad,SER517-Capstone---Project-10,100,True
abrinckm,TE-Performer-App,37,True
lookiesmu,LOOKIE_BACK_2022,2,True
nnstreamer,nnstreamer-windows-resource,2,True
ODOICHON,frontend,38,True
emqx,NanoSDK,201,True
Team-Cartographer,SUITS-2024-LMCC,48,True
fglaw,repaired,64,True
n8n-io,codemirror-lang-n8n,20,True
mariusbalcytis,webpack-bundle,18,True
openkylin,libopenmpt,12,True
CMPUT301F22T19,DietScoop,25,True
dojo,docs,946,True
pagopa,p4pa-payhub-activities,15,True
Servond,jcwd220202,10,True
sad-cow-png,Shared-Spaces,7,True
nrfconnect,nrf_wifi,17,True
BoutSoftware,PadronDigitalPAN,30,True
ethereum-optimism,op-analytics,351,True
cardano-lightning,cardano-lightning,26,True
KSigurd,KROLF-household-app,128,True
PeterFiorentino,Choral,18,True
ironhack-labs,lab-css-spotify-clone,22,True
openkylin,libclass-method-modifiers-perl,8,True
src-openeuler,libsvm,7,True
at-android,2016-k2-training,13,True
bandprotocol,chain,125,True
libsdl-org,tremor,195,True
DariaSavchenko12,SymundCloud,2,True
iotaledger,entangled,199,True
Deepwarrior,axolotl,26,True
CEN-Project-Group-2,Bookstore-API,25,True
HarvardWestlake,CapitolClash,136,True
CMU-17313Q,fall23-nodebb-inshallah-a,227,True
cjswn10,Blank_mobile,3,True
cockroachdb,readline,74,True
rudderlabs,rudder-transformer,74,True
cedelabs,ccxt,521,True
brianchandotcom,liferay-docker,154,True
rubyforgood,discourse-ticketing,20,True
